image,row,col,x_px,y_px
left01.jpg,0,0,244.405273,94.136856
left01.jpg,0,1,274.394714,92.210571
left01.jpg,0,2,305.500977,90.317200
left01.jpg,0,3,338.309204,88.792976
left01.jpg,0,4,371.721954,87.874794
left01.jpg,0,5,406.454346,86.711365
left01.jpg,0,6,441.636536,86.246689
left01.jpg,0,7,477.623322,86.221878
left01.jpg,0,8,513.767761,86.529228
left01.jpg,1,0,244.891495,126.181664
left01.jpg,1,1,274.705353,124.874321
left01.jpg,1,2,306.059143,123.964027
left01.jpg,1,3,338.623138,123.086105
left01.jpg,1,4,372.249420,122.286392
left01.jpg,1,5,406.668915,122.142990
left01.jpg,1,6,442.096863,122.085060
left01.jpg,1,7,478.011139,122.238258
left01.jpg,1,8,514.272949,122.782654
left01.jpg,2,0,245.353897,158.276474
left01.jpg,2,1,275.250061,158.049484
left01.jpg,2,2,306.548004,157.648926
left01.jpg,2,3,338.891846,157.398148
left01.jpg,2,4,372.385712,157.416748
left01.jpg,2,5,406.801025,157.496719
left01.jpg,2,6,442.113220,157.886032
left01.jpg,2,7,477.914581,158.322250
left01.jpg,2,8,513.886963,159.372574
left01.jpg,3,0,246.348602,190.389969
left01.jpg,3,1,275.860046,190.521637
left01.jpg,3,2,307.083313,191.064270
left01.jpg,3,3,339.264069,191.560760
left01.jpg,3,4,372.578278,192.051697
left01.jpg,3,5,406.767548,192.522446
left01.jpg,3,6,441.712677,193.620621
left01.jpg,3,7,477.407990,194.334259
left01.jpg,3,8,513.075806,195.625397
left01.jpg,4,0,247.350235,222.271378
left01.jpg,4,1,276.928070,223.405991
left01.jpg,4,2,307.567657,224.259384
left01.jpg,4,3,339.553955,225.402054
left01.jpg,4,4,372.706116,226.322281
left01.jpg,4,5,406.594635,227.648163
left01.jpg,4,6,441.250336,228.632736
left01.jpg,4,7,476.691376,230.003815
left01.jpg,4,8,511.917725,231.577759
left01.jpg,5,0,248.927689,253.592148
left01.jpg,5,1,277.595856,255.092819
left01.jpg,5,2,308.492065,256.515930
left01.jpg,5,3,340.010681,258.242218
left01.jpg,5,4,372.683685,259.910156
left01.jpg,5,5,406.221802,261.701385
left01.jpg,5,6,440.502472,263.232849
left01.jpg,5,7,475.321838,264.624603
left01.jpg,5,8,510.364899,266.202484
left02.jpg,0,0,256.438538,362.375183
left02.jpg,0,1,255.238129,334.424408
left02.jpg,0,2,254.304703,308.908142
left02.jpg,0,3,253.285553,280.395111
left02.jpg,0,4,252.632797,248.560883
left02.jpg,0,5,251.750565,212.815155
left02.jpg,0,6,251.259521,172.683258
left02.jpg,0,7,251.096802,127.983521
left02.jpg,0,8,251.463364,78.190041
left02.jpg,1,0,291.008148,369.333771
left02.jpg,1,1,292.614777,343.449585
left02.jpg,1,2,293.634399,318.090454
left02.jpg,1,3,295.148438,289.760864
left02.jpg,1,4,296.853180,258.065308
left02.jpg,1,5,298.763031,222.358444
left02.jpg,1,6,301.108032,182.126556
left02.jpg,1,7,303.755920,136.998077
left02.jpg,1,8,307.066284,86.711800
left02.jpg,2,0,327.492340,378.278442
left02.jpg,2,1,330.833771,352.219543
left02.jpg,2,2,334.245422,327.161621
left02.jpg,2,3,338.070648,299.222717
left02.jpg,2,4,342.266693,267.763855
left02.jpg,2,5,347.087158,232.245377
left02.jpg,2,6,352.377625,192.209686
left02.jpg,2,7,358.424255,146.960342
left02.jpg,2,8,365.127136,96.778709
left02.jpg,3,0,363.316101,386.214020
left02.jpg,3,1,369.522369,360.482849
left02.jpg,3,2,375.277313,336.104034
left02.jpg,3,3,381.593292,308.356049
left02.jpg,3,4,388.453461,277.455078
left02.jpg,3,5,396.135864,242.336304
left02.jpg,3,6,404.604706,202.723434
left02.jpg,3,7,413.966675,157.757294
left02.jpg,3,8,424.132324,107.846191
left02.jpg,4,0,401.000336,391.437927
left02.jpg,4,1,408.461151,368.605042
left02.jpg,4,2,416.430817,344.544281
left02.jpg,4,3,425.239258,317.360962
left02.jpg,4,4,434.800842,286.778290
left02.jpg,4,5,445.283691,252.391281
left02.jpg,4,6,456.841827,213.547379
left02.jpg,4,7,469.519714,169.351273
left02.jpg,4,8,483.137238,120.093613
left02.jpg,5,0,435.283478,402.627655
left02.jpg,5,1,446.714111,376.145325
left02.jpg,5,2,456.984283,352.433594
left02.jpg,5,3,468.080078,325.775787
left02.jpg,5,4,480.230011,296.077454
left02.jpg,5,5,493.468323,262.403748
left02.jpg,5,6,507.860077,224.147522
left02.jpg,5,7,523.488647,181.126846
left02.jpg,5,8,540.101440,133.095566
left03.jpg,0,0,277.196289,72.200958
left03.jpg,0,1,313.964142,81.246658
left03.jpg,0,2,353.019012,91.033333
left03.jpg,0,3,393.232788,102.010849
left03.jpg,0,4,434.717194,113.616425
left03.jpg,0,5,477.113678,126.347137
left03.jpg,0,6,519.729919,139.580002
left03.jpg,0,7,562.362000,153.605316
left03.jpg,0,8,603.783997,168.297546
left03.jpg,1,0,260.038544,105.356758
left03.jpg,1,1,297.562561,115.207428
left03.jpg,1,2,337.172852,126.307762
left03.jpg,1,3,378.445282,138.137299
left03.jpg,1,4,421.071136,150.899933
left03.jpg,1,5,464.540527,164.447739
left03.jpg,1,6,508.506775,178.625183
left03.jpg,1,7,552.413635,193.252975
left03.jpg,1,8,595.454102,208.167114
left03.jpg,2,0,242.450974,140.621902
left03.jpg,2,1,280.209595,151.795776
left03.jpg,2,2,320.519348,163.918961
left03.jpg,2,3,362.618164,177.007751
left03.jpg,2,4,406.078918,190.711777
left03.jpg,2,5,450.688812,205.273071
left03.jpg,2,6,495.928101,220.157181
left03.jpg,2,7,541.217773,235.303589
left03.jpg,2,8,585.326721,250.700867
left03.jpg,3,0,224.177963,177.887100
left03.jpg,3,1,262.495941,190.555496
left03.jpg,3,2,303.178772,203.894241
left03.jpg,3,3,345.796783,218.187912
left03.jpg,3,4,390.014648,232.968552
left03.jpg,3,5,435.593903,248.379425
left03.jpg,3,6,481.949707,264.086395
left03.jpg,3,7,528.270996,279.974670
left03.jpg,3,8,573.573669,295.578156
left03.jpg,4,0,205.897186,217.120758
left03.jpg,4,1,244.133087,231.034912
left03.jpg,4,2,284.994598,245.745087
left03.jpg,4,3,327.985779,261.400879
left03.jpg,4,4,373.095367,277.374908
left03.jpg,4,5,419.448120,293.758698
left03.jpg,4,6,466.536499,310.290009
left03.jpg,4,7,513.826111,326.688538
left03.jpg,4,8,559.883301,342.758087
left03.jpg,5,0,187.299026,257.430511
left03.jpg,5,1,225.444748,272.791962
left03.jpg,5,2,266.599335,289.138672
left03.jpg,5,3,309.976288,305.974396
left03.jpg,5,4,355.305359,323.203674
left03.jpg,5,5,402.117035,340.503906
left03.jpg,5,6,449.851715,357.672699
left03.jpg,5,7,497.802307,374.593323
left03.jpg,5,8,544.751831,390.713196
left04.jpg,0,0,188.521759,130.596329
left04.jpg,0,1,223.254303,127.106049
left04.jpg,0,2,260.337128,123.723824
left04.jpg,0,3,299.313507,120.210289
left04.jpg,0,4,340.142761,117.282288
left04.jpg,0,5,382.411713,114.390594
left04.jpg,0,6,425.844604,112.190895
left04.jpg,0,7,470.293945,110.210068
left04.jpg,0,8,514.562683,109.157501
left04.jpg,1,0,185.582565,168.314453
left04.jpg,1,1,220.925552,165.859879
left04.jpg,1,2,258.522217,163.193726
left04.jpg,1,3,298.120392,160.620529
left04.jpg,1,4,339.503479,158.407471
left04.jpg,1,5,382.674408,156.358276
left04.jpg,1,6,427.016663,154.533707
left04.jpg,1,7,472.391541,153.324463
left04.jpg,1,8,517.506592,152.167755
left04.jpg,2,0,183.304901,207.503448
left04.jpg,2,1,218.837814,205.895111
left04.jpg,2,2,256.935883,204.272675
left04.jpg,2,3,297.066467,202.787933
left04.jpg,2,4,338.930328,201.506409
left04.jpg,2,5,382.760101,200.219391
left04.jpg,2,6,427.891388,198.939392
left04.jpg,2,7,473.991943,198.024292
left04.jpg,2,8,519.859802,197.204041
left04.jpg,3,0,181.262131,247.427444
left04.jpg,3,1,217.258835,246.826843
left04.jpg,3,2,255.445404,246.434555
left04.jpg,3,3,296.096039,246.131378
left04.jpg,3,4,338.547272,245.727783
left04.jpg,3,5,382.715302,245.334808
left04.jpg,3,6,428.473969,244.553635
left04.jpg,3,7,474.927734,244.141861
left04.jpg,3,8,521.378967,243.596237
left04.jpg,4,0,180.174179,287.820435
left04.jpg,4,1,216.080490,288.648468
left04.jpg,4,2,254.622482,289.651398
left04.jpg,4,3,295.249786,290.259521
left04.jpg,4,4,338.125793,290.768677
left04.jpg,4,5,382.588348,291.287903
left04.jpg,4,6,428.597168,291.461151
left04.jpg,4,7,475.364319,291.325043
left04.jpg,4,8,522.194702,290.909515
left04.jpg,5,0,179.370087,328.195709
left04.jpg,5,1,215.266815,330.420197
left04.jpg,5,2,253.877899,332.341980
left04.jpg,5,3,294.734711,334.311218
left04.jpg,5,4,337.527191,335.893311
left04.jpg,5,5,382.264008,337.244568
left04.jpg,5,6,428.285980,337.898193
left04.jpg,5,7,475.098877,338.221985
left04.jpg,5,8,522.051270,338.129913
left05.jpg,0,0,436.273376,49.716278
left05.jpg,0,1,448.956299,77.815857
left05.jpg,0,2,462.564148,108.737923
left05.jpg,0,3,477.083954,142.887589
left05.jpg,0,4,492.467712,180.427811
left05.jpg,0,5,508.659210,221.371231
left05.jpg,0,6,525.287903,265.940735
left05.jpg,0,7,542.388550,313.811554
left05.jpg,0,8,559.301697,364.594513
left05.jpg,1,0,397.760040,57.835320
left05.jpg,1,1,408.566681,86.377350
left05.jpg,1,2,420.531952,117.966629
left05.jpg,1,3,433.183685,152.892059
left05.jpg,1,4,446.843140,191.200790
left05.jpg,1,5,461.261810,233.171097
left05.jpg,1,6,476.293091,278.670166
left05.jpg,1,7,491.839508,327.824097
left05.jpg,1,8,507.689667,379.709137
left05.jpg,2,0,358.399780,66.664917
left05.jpg,2,1,367.578217,95.667130
left05.jpg,2,2,377.369354,127.792274
left05.jpg,2,3,388.269653,163.420334
left05.jpg,2,4,399.858765,202.296249
left05.jpg,2,5,412.355499,245.016586
left05.jpg,2,6,425.552155,291.527100
left05.jpg,2,7,439.531982,341.589142
left05.jpg,2,8,453.684509,394.321564
left05.jpg,3,0,319.071838,76.258118
left05.jpg,3,1,326.154480,105.716583
left05.jpg,3,2,334.118225,138.265442
left05.jpg,3,3,342.759308,174.436493
left05.jpg,3,4,352.235687,213.819412
left05.jpg,3,5,362.673492,257.188538
left05.jpg,3,6,373.935394,304.142456
left05.jpg,3,7,385.912140,354.801666
left05.jpg,3,8,398.439331,407.919098
left05.jpg,4,0,279.466064,86.411537
left05.jpg,4,1,284.717010,116.290276
left05.jpg,4,2,290.686493,149.286774
left05.jpg,4,3,297.343292,185.717056
left05.jpg,4,4,304.732758,225.608475
left05.jpg,4,5,312.952454,269.154572
left05.jpg,4,6,322.123871,316.362793
left05.jpg,4,7,332.199860,367.218567
left05.jpg,4,8,342.884766,420.653259
left05.jpg,5,0,240.904968,96.930428
left05.jpg,5,1,244.292435,127.003098
