seq,timestamp_us,command,frame,x,y,z,yaw_deg,acceptance_radius_m,hold_s,cruise_speed_mps,loiter_radius_m,roi_x,roi_y,roi_z
0,0,TAKEOFF,LOCAL_NED,7.5000,0.5000,-3.0,0,0.25,0.0,1.2,NaN,NaN,NaN,NaN
1,3000000,WAYPOINT,LOCAL_NED,10.3284,1.6716,-3.4,45,0.30,0.0,1.4,NaN,NaN,NaN,NaN
2,6000000,CHANGE_SPEED,LOCAL_NED,NaN,NaN,NaN,NaN,NaN,0.0,0.75,NaN,NaN,NaN,NaN
3,6500000,ROI_WAYPOINT,LOCAL_NED,11.5000,4.5000,-3.8,NaN,0.25,0.0,NaN,NaN,7.5000,4.5000,-1.2
4,10000000,ROI_WAYPOINT,LOCAL_NED,10.3284,7.3284,-3.6,NaN,0.25,0.0,NaN,NaN,7.5000,4.5000,-1.2
5,13500000,ROI_WAYPOINT,LOCAL_NED,7.5000,8.5000,-3.5,NaN,0.25,0.0,NaN,NaN,7.5000,4.5000,-1.2
6,15500000,LOITER_TIME,LOCAL_NED,NaN,NaN,NaN,NaN,0.20,2.0,NaN,0.8,7.5000,4.5000,-1.2
7,16500000,CHANGE_SPEED,LOCAL_NED,NaN,NaN,NaN,NaN,NaN,0.0,1.3,NaN,NaN,NaN,NaN
8,17000000,WAYPOINT,LOCAL_NED,4.6716,7.3284,-3.6,225,0.30,0.0,NaN,NaN,NaN,NaN,NaN
9,20500000,WAYPOINT,LOCAL_NED,3.5000,4.5000,-3.2,270,0.30,0.0,1.0,NaN,NaN,NaN,NaN
10,23500000,WAYPOINT,LOCAL_NED,4.6716,1.6716,-2.8,315,0.30,0.0,NaN,NaN,NaN,NaN,NaN
11,26500000,LAND,LOCAL_NED,7.5000,0.5000,0.0,360,0.18,0.0,0.6,NaN,NaN,NaN,NaN
